#0)model 1)rv 2)Rgc 3)Z 4)N(x10^5) 5)t_merge(Myr) 6)id1 7)id2 8)m1 9)m2 10)spin1 11)spin2 12)v_kick 13)v_esc 14)channel 15)id_merger 16)m_merger 17)spin_merger 18)a_final (AU) 19)e_final
# merger channels: 1)ejected 2)in-cluster binary 3) in cluster 3-body 4) in cluster 4 body 5) in cluster 2-body GW capture
149 2.0 20.0 0.002 1.0 263.228700506 2081402.0 10016995.0 17.6111 18.5347 0.0 0.0 14.6919 158.758 2 2081402.0 34.403 0.686103 0.00158583 0.106878
149 2.0 20.0 0.002 1.0 264.76776578 5939793.0 10117969.0 33.5131 58.3045 0.0 0.68463 444.737 173.355 5 5939793.0 88.4062 0.572849 1.41129 0.999832
149 2.0 20.0 0.002 1.0 267.44012358 7428882.0 10186399.0 21.4313 23.5267 0.0 0.0 26.73 165.482 4 17928882.0 42.7958 0.685271 1.32974e-310 2.35149e-310
149 2.0 20.0 0.002 1.0 269.647908385 253790.0 11777882.0 41.4968 41.3293 0.0 0.0 1.16431 166.522 2 253790.0 78.8281 0.686458 0.00354919 0.24352
149 2.0 20.0 0.002 1.0 269.713873457 7951993.0 13836416.0 41.8672 41.1481 0.0 0.0 4.9852 119.443 2 7951993.0 79.0087 0.686419 0.00380977 0.357021
149 2.0 20.0 0.002 1.0 271.138667449 4228429.0 5337148.0 41.7671 41.6885 0.0 0.0 0.542135 123.502 2 4228429.0 79.4272 0.68646 0.00584444 0.409182
149 2.0 20.0 0.002 1.0 271.31428845 10205422.0 11563894.0 15.416 37.3388 0.0 0.0 172.288 68.6087 2 10205422.0 50.9041 0.588812 0.00394414 0.100951
149 2.0 20.0 0.002 1.0 273.722726176 10598423.0 11509120.0 40.3075 40.8134 0.0 0.0 3.58995 170.037 5 10598423.0 77.2054 0.686439 0.0975187 0.998977
149 2.0 20.0 0.002 1.0 283.211434589 4228429.0 12707157.0 79.4272 41.2002 0.68646 0.0 543.702 167.387 2 4228429.0 116.916 0.474103 0.00635104 0.14626
149 2.0 20.0 0.002 1.0 284.306228113 5324037.0 10567632.0 41.7513 38.1278 0.0 0.0 26.0204 167.454 5 5324037.0 76.0369 0.685334 2.34964 0.9999
149 2.0 20.0 0.002 1.0 289.84784271 5446744.0 10378188.0 41.6546 17.3649 0.0 0.0 171.833 165.062 2 5446744.0 56.9352 0.590748 0.141458 0.99653
149 2.0 20.0 0.002 1.0 290.650754906 582196.0 10543721.0 55.9176 40.1715 0.568366 0.0 713.46 168.433 2 582196.0 90.4956 0.768997 0.00542069 0.0682141
149 2.0 20.0 0.002 1.0 291.375834163 7203613.0 11123255.0 41.712 75.0773 0.0 0.684951 761.092 126.025 2 7203613.0 112.941 0.509223 0.00665877 0.723127
149 2.0 20.0 0.002 1.0 291.567931001 10833527.0 7951993.0 38.3755 79.0087 0.0 0.686419 305.357 165.681 3 10833528.0 111.368 0.743901 0.000330177 0.755495
149 2.0 20.0 0.002 1.0 292.5138451 253790.0 10863072.0 78.8281 78.5281 0.686458 0.68646 1810.04 161.633 3 10753791.0 150.328 0.651335 0.000429466 0.811545
149 2.0 20.0 0.002 1.0 297.941399647 10535477.0 12394370.0 41.4662 41.097 0.0 0.0 2.57341 167.244 2 10535477.0 78.578 0.686449 0.13442 0.994666
149 2.0 20.0 0.002 1.0 303.435203755 10598423.0 12482663.0 77.2054 32.3727 0.686439 0.0 1260.19 100.256 2 10598423.0 104.954 0.671903 0.00375901 0.111572
149 2.0 20.0 0.002 1.0 307.144149573 10178208.0 10591653.0 31.3201 40.8597 0.0 0.0 73.8313 143.881 2 10178208.0 68.7987 0.676872 0.0040408 0.0530963
149 2.0 20.0 0.002 1.0 308.110157383 10021293.0 13355889.0 21.5532 41.1087 0.0 0.0 150.671 168.67 3 13355890.0 60.119 0.632194 0.000169211 0.833564
149 2.0 20.0 0.002 1.0 308.861282004 822736.0 9158546.0 66.4772 41.6465 0.665994 0.0 894.774 85.8805 2 822736.0 101.71 0.783892 0.00434915 0.100902
